FF,stat,n,mle,stderr,mean,low,high,group
v1-k100,RMSE,69,0.6584699728435284,0.06626638309377168,0.6536635670266611,0.52394605327839,0.783149991630017,a18
v1-k100,MUE,69,0.5124405295781087,0.04840724551078716,0.5121461367989661,0.41973675098215263,0.6150876781035295,a18
v1-k100,R2,69,0.9015183052112983,0.024607862707884582,0.9006142297931852,0.8439368174720632,0.9424184973290677,a18
v1-k100,rho,69,0.9494831779506674,0.0137746367915272,0.948434751467916,0.9163411739313674,0.9710794561548824,a18
v3-k100,RMSE,69,0.678148158638949,0.07366028224564267,0.6759692641588088,0.542253972797207,0.8295549745925997,a18
v3-k100,MUE,69,0.5327745053286961,0.04892505957148112,0.5313461221114586,0.4374595354393087,0.6325179474178266,a18
v3-k100,R2,69,0.8895089999012581,0.02707846306463794,0.8887691344815013,0.8282754754114884,0.9351625463674309,a18
v3-k100,rho,69,0.9431378477726672,0.01379263650685648,0.9429770858221286,0.914287868331918,0.9654479354105753,a18
Sage 2.0.0,RMSE,51,1.0078813427841742,0.11852147489413581,1.000997640682916,0.7716148615505821,1.2347805934398548,a19
Sage 2.0.0,MUE,51,0.7278315201573434,0.09946671005709971,0.73255893437025,0.5414050925973055,0.9223426235052944,a19
Sage 2.0.0,R2,51,0.9274050543252372,0.023916165462855396,0.9250543908191353,0.8689770638740576,0.9648533033242848,a19
Sage 2.0.0,rho,51,0.9630187196130908,0.012932817434733887,0.9614463245505379,0.9308267846917144,0.9817421375445657,a19
Sage 2.2.1,RMSE,51,0.8546499744072753,0.09484521796694369,0.849702677490169,0.6609706253266748,1.0368839712784215,a19
Sage 2.2.1,MUE,51,0.641619523704401,0.0784996149013632,0.6421831929016774,0.4945994734624643,0.8008489897149144,a19
Sage 2.2.1,R2,51,0.9334758838343531,0.02376328544189182,0.9323339698743156,0.8759696151585227,0.969891865299455,a19
Sage 2.2.1,rho,51,0.9661655571558909,0.012274550895838546,0.9649661479338465,0.9377531230832028,0.9836970092834705,a19
smee-v2,RMSE,51,0.9523078248703584,0.11456718646908248,0.9395594577868492,0.717445317665741,1.1588504978467087,a19
smee-v2,MUE,51,0.6969538885531494,0.08875997109805103,0.6942357437486221,0.5375507581532982,0.8713663690438249,a19
smee-v2,R2,51,0.9085014877868595,0.025747607691536122,0.9069097243242561,0.8471713257071334,0.9515270223214399,a19
smee-v2,rho,51,0.9531534439883536,0.014253367661966962,0.9520627079424019,0.9182815342460535,0.9751767257912637,a19
v1-k100,RMSE,51,0.719753767759914,0.0803552766358109,0.7158372064871414,0.5559375340147477,0.8650341102645009,a19
v1-k100,MUE,51,0.5325342865726583,0.06757176785152695,0.5279070979519195,0.407436237267452,0.6661726564092578,a19
v1-k100,R2,51,0.9316872738886207,0.021764383571851335,0.9299427687727492,0.8785220071472497,0.9618070060979,a19
v1-k100,rho,51,0.9652394904315824,0.011313824424894214,0.9643841033753292,0.9394931646555308,0.9820660231907598,a19
v3-k100,RMSE,51,0.7325642031990133,0.0869437915063167,0.7295480408726499,0.5655619162435715,0.9035751552393522,a19
v3-k100,MUE,51,0.5480758777251701,0.06837297558962793,0.5486517253767741,0.4222719914445714,0.6880691317979984,a19
v3-k100,R2,51,0.9343081639254203,0.01964050910046449,0.9329894560202977,0.8869361075545009,0.9637055731079027,a19
v3-k100,rho,51,0.9665961741727614,0.010438070146039933,0.9658615526849588,0.9419484469645822,0.9825164497460241,a19
Sage 2.0.0,RMSE,108,0.4653011355128372,0.07008758129162948,0.4595897296564679,0.3384927675368984,0.6023745119600529,a20
Sage 2.0.0,MUE,108,0.3389919121499028,0.031737289841815376,0.3383703025486475,0.28484447482924274,0.4135891223529801,a20
Sage 2.0.0,R2,108,0.7158570322095241,0.06580057163642593,0.7223870819466716,0.5955747537478844,0.8490679287266001,a20
Sage 2.0.0,rho,108,0.8460833482639423,0.037302268907658025,0.8487702638419083,0.7735359342369561,0.9184228509825353,a20
Sage 2.2.1,RMSE,108,0.47280920953665795,0.06821627532589994,0.47093788027662004,0.3433018364431274,0.6076006108297448,a20
Sage 2.2.1,MUE,108,0.34270275020903046,0.031046773970388953,0.34093648599632453,0.28547100778634277,0.40818372709556416,a20
Sage 2.2.1,R2,108,0.6890176141947316,0.06557978348811025,0.7005827146172139,0.5694353209852759,0.8296219655594411,a20
Sage 2.2.1,rho,108,0.8300708489007018,0.039676689563154115,0.8327672489840345,0.7533647347156124,0.9092032680913796,a20
smee-v2,RMSE,108,0.45680287734460706,0.06931693351469347,0.4532014067841781,0.33295929090325926,0.607369772676789,a20
smee-v2,MUE,108,0.3267864237060507,0.029542562550329884,0.32615330238943624,0.2748268269575973,0.38633092008262465,a20
smee-v2,R2,108,0.7095840770240279,0.06472403570803963,0.71343954114126,0.59159242623089,0.8465359225636359,a20
smee-v2,rho,108,0.8423681362824856,0.038986247118901966,0.8466111487770501,0.7693305812325761,0.9201748950413559,a20
v1-k100,RMSE,108,0.4947238543882198,0.06926041068762152,0.49455917034100527,0.37211606248809864,0.6391862899838847,a20
v1-k100,MUE,108,0.362539848208792,0.03312714382372964,0.3646492842926456,0.3053174103727283,0.43691423068839536,a20
v1-k100,R2,108,0.6875748967581131,0.06363157155900576,0.6950019947789435,0.5723894858434236,0.8121621388939225,a20
v1-k100,rho,108,0.829201360803341,0.040570611349982494,0.8317208844639875,0.7539275204821091,0.9120966108708567,a20
v3-k100,RMSE,108,0.4904129226365656,0.0650208878332919,0.4881611126516999,0.3726911218774101,0.6237850059439515,a20
v3-k100,MUE,108,0.36975211328841945,0.03146499935442741,0.3708589267730557,0.31426264567224843,0.4416210991457013,a20
v3-k100,R2,108,0.6963841274866095,0.06199478314700573,0.7006288003957436,0.581969265083867,0.8248756889751871,a20
v3-k100,rho,108,0.8344963316196239,0.03809304801500852,0.8381292351516995,0.7599077123200803,0.9064192738751006,a20
Sage 2.0.0,RMSE,45,0.6059479281942092,0.1318476609304367,0.5886643020427973,0.34652360739449617,0.8477183623643879,a21
Sage 2.0.0,MUE,45,0.3694317370575453,0.07436599893884349,0.37062688914719644,0.24197154037810845,0.5304500107956839,a21
Sage 2.0.0,R2,45,0.7608109502491991,0.09868018610551814,0.7608887164044427,0.5518779479244657,0.9290779578679653,a21
Sage 2.0.0,rho,45,0.8722447765674491,0.059780084020868256,0.8708916184017048,0.7330973469557022,0.9664030036942729,a21
Sage 2.2.1,RMSE,45,0.6027956765020599,0.1328282702759709,0.5943398461381574,0.3443373076115377,0.8701767143055199,a21
Sage 2.2.1,MUE,45,0.3803688170461867,0.06968282588385971,0.38188756138445706,0.2573950141540213,0.5243590288002999,a21
Sage 2.2.1,R2,45,0.7493779875402741,0.10751690910630025,0.7527012441941585,0.5367648939126141,0.9486649877625256,a21
Sage 2.2.1,rho,45,0.8656662102336409,0.0640548051823699,0.8650897710215618,0.7203800846046189,0.9744170141091001,a21
smee-v2,RMSE,45,0.6409243592782016,0.11787176141295483,0.6239794336867385,0.4035766773700183,0.8655936998589355,a21
smee-v2,MUE,45,0.4361064891924626,0.07198643810642104,0.43977672253714867,0.30922873031460324,0.586152670544614,a21
smee-v2,R2,45,0.7737154200740323,0.08528243485709851,0.776661232857589,0.5819272567699428,0.9172903634303424,a21
smee-v2,rho,45,0.8796109481322025,0.048939642100842166,0.878836521236071,0.7677382434378436,0.9560108142587691,a21
v1-k100,RMSE,45,0.6012587430014403,0.12914167191551784,0.5933665965038495,0.34703284182614397,0.8480902927750229,a21
v1-k100,MUE,45,0.3527210793028321,0.07328751674116459,0.35251161920409,0.22498070955417318,0.514203791571383,a21
v1-k100,R2,45,0.7608753901859915,0.10140502179508866,0.7636340034190189,0.5537637320509284,0.950856528084293,a21
v1-k100,rho,45,0.8722817149212693,0.05744758277087529,0.8719794252845654,0.7457672508589243,0.9707631318148691,a21
